,customer_name,review_date,item_title,item_link,item_rating,review_text
0,Pia,2021-11-13,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
1,Pally,2021-11-13,"Lunch box personalized, Lunch box children, Personalized lunch box, Lunch box Kindergarten, Bread box personalized, Lunch box stainless steel children",www.etsy.com/listing/1041303149/lunch-box-personalized-lunch-box?ref=shop_review,5 out of 5 stars,Sehr schön und eine tolle Geschenkidee
2,Karina,2021-11-13,"Personalized Gifts, Breakfast Board Personalized, Baby Gift, Board Personalized, Christmas Gift, Wooden Board",www.etsy.com/listing/1006900911/personalized-gifts-breakfast-board?ref=shop_review,5 out of 5 stars,Super geworden! Großes Lob!
3,Judith,2021-11-13,"Thank you teacher gift, personalized lunch box, farewell gift teacher, gift teacher, teacher farewell, lunchbox teacher",www.etsy.com/listing/1028025656/thank-you-teacher-gift-personalized?ref=shop_review,5 out of 5 stars,"Diese Leherbox kam richtig gut an. Danke, für die schnelle Lieferung!"
4,inawolters1,2021-11-13,"Breakfast Board Kids, Personalized Gift Baby, Wooden Board with Engraving, Baby Gift, Vesper Board Child",www.etsy.com/listing/1006900911/personalized-gifts-breakfast-board?ref=shop_review,5 out of 5 stars,
5,Edda,2021-11-13,"Baby gift personalized, Breakfast board children, Personalized gifts for birth, Boards, Baby gift",www.etsy.com/listing/1015110580/baby-gift-personalized-breakfast-board?ref=shop_review,5 out of 5 stars,
6,Katharina,2021-11-13,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
7,Christine Setiodarmo,2021-11-13,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
8,Kathrin,2021-11-13,"Baby Gift, Personalized Gift Baby, Breakfast Board Personalized, Christmas Gift Baby, Birth Gift, Board Name",www.etsy.com/listing/1087986267/baby-gift-birth-gift-birth-baby-gift?ref=shop_review,4 out of 5 stars,"Sehr schnelle Lieferung. Artikel ist sehr schön. Nur als Teller etwas zu flach. Wenn das Kind mit dem mitgelieferten Löffel isst, wird das Essen eher vom Teller runter geschoben."
9,jojuba1,2021-11-13,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,Super schöne Bretter
10,Sabrina,2021-11-13,"Wooden board with engraving, breakfast board kids, kids spoon, baby gift, board bunny, personalized gift baby,vesper board kids",www.etsy.com/listing/932376212/wooden-board-with-engraving-breakfast?ref=shop_review,5 out of 5 stars,Wunderschöne Brettchen ❤︎ vielen lieben Dank!
11,Michelle Walewski,2021-11-13,"Bread tin kids, bread tin personalized, lunchbox personalized, baby gift, bread tin nursery, personalized bread tin with bear",www.etsy.com/listing/984353475/bread-tin-kids-bread-tin-personalized?ref=shop_review,5 out of 5 stars,Ganz liebe und nette Verkäuferin und super kulant. Dankeschön!
12,Ulla,2021-11-13,"Wooden board with engraving, breakfast board kids, kids spoon, baby gift, board bunny, personalized cutting board, vesper board",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,Das Holzbrettchen entspricht voll meinen Erwartungen!! Ist als Geschenk super angekommen und wird deshalb fürs nächste Baby gleich nochmal bestellt :))
13,Frederike,2021-11-13,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,Ich bin so begeistert… Bestelle demnächst noch 3 Stück ☺️
14,Barbara,2021-11-13,"Wooden board with engraving, breakfast board kids, kids spoon, baby gift, board bunny, personalized cutting board, vesper board",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
15,Sabine,2021-11-13,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,4 out of 5 stars,
16,Angelika,2021-11-13,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,Super Geschenk. Bin sehr zufrieden 😀
17,Anja,2021-11-13,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
