,target_id,total_sales,difference,monthly_sales,item_link_x,total_number_of_comments,average_comments_permonth,total_number_of_reviews,average_reviews_permonth
0,1001542023,14,0,inf,https://www.etsy.com/listing/1001542023/drinking-horn-with-laced-holder-04-h-tu?ref=shop_review,3,inf,4,inf
1,1001542199,4,2,2.0,https://www.etsy.com/listing/1001542199/chain-hook-extra-small-07-schmu-ha-0-g1?ref=shop_review,1,0.5,2,1.0
2,1002232225,3,7,0.42857142857142855,https://www.etsy.com/listing/1002232225/medieval-cutlery-set-with-torsion-16-be?ref=shop_review,1,0.14285714285714285,1,0.14285714285714285
3,1004021147,2,1,2.0,https://www.etsy.com/listing/1004021147/horn-with-holder-mount-tribal-04-h-ni-kk?ref=shop_review,2,2.0,2,2.0
4,1005944227,2,7,0.2857142857142857,https://www.etsy.com/listing/1005944227/medieval-skirt-chaser-embossed-04?ref=shop_review,1,0.14285714285714285,1,0.14285714285714285
5,1006632467,1,1,1.0,https://www.etsy.com/listing/1006632467/knife-handle-multi-layer-scantling-black?ref=shop_review,1,1.0,1,1.0
6,1006714077,5,4,1.25,https://www.etsy.com/listing/1006714077/medieval-belt-bag-buckle-clasp?ref=shop_review,1,0.25,2,0.5
7,1008388941,1,2,0.5,https://www.etsy.com/listing/1008388941/viking-oval-brooch-from-truso-07-ov-0?ref=shop_review,1,0.5,1,0.5
8,1013058626,1,5,0.2,https://www.etsy.com/listing/1013058626/viking-bead-no-b14-hole-4-mm-07-bea-14?ref=shop_review,1,0.2,1,0.2
9,1016197996,6,3,2.0,https://www.etsy.com/listing/1016197996/fingerring-foremal-07-ring-fore-g2-d-i-2?ref=shop_review,1,0.3333333333333333,3,1.0
10,1016198144,13,0,inf,https://www.etsy.com/listing/1016198144/viking-finger-ring-with-runes-07-ring?ref=shop_review,3,inf,4,inf
11,1016198244,3,5,0.6,https://www.etsy.com/listing/1016198244/finger-ring-thorleif-07-ring-thorleif-g2?ref=shop_review,1,0.2,1,0.2
12,1016209078,18,5,3.6,https://www.etsy.com/listing/1016209078/carbon-knife-blade-medium-02?ref=shop_review,1,0.2,1,0.2
13,1018246640,8,2,4.0,https://www.etsy.com/listing/1018246640/medieval-acorn-button-06-button-eich-g1?ref=shop_review,1,0.5,1,0.5
14,1020533850,3,1,3.0,https://www.etsy.com/listing/1020533850/viking-bead-no-b6-hole-4-mm-07-bea-06-n3?ref=shop_review,2,2.0,2,2.0
15,1020534156,4,4,1.0,https://www.etsy.com/listing/1020534156/viking-bead-no-w1-hole-5-mm-07-wei-01-n3?ref=shop_review,1,0.25,1,0.25
