,target_id,total_sales,difference,monthly_sales,item_link_x,total_number_of_comments,average_comments_permonth,total_number_of_reviews,average_reviews_permonth
0,1023067128,147,4,36.75,https://www.etsy.com/listing/1023067128/baptism-birth-baby-gift-locomotive-train?ref=shop_review,9,2.25,16,4.0
1,1023145120,246,5,49.2,https://www.etsy.com/listing/1023145120/little-dutch-mepal-lunch-box-pink-white?ref=shop_review,4,0.8,16,3.2
2,1023601026,100,4,25.0,https://www.etsy.com/listing/1023601026/little-dutch-mepal-lunch-box-green-white?ref=shop_review,3,0.75,6,1.5
3,1024137060,213,4,53.25,https://www.etsy.com/listing/1024137060/little-dutch-ball-track-wood-pink-wild?ref=shop_review,11,2.75,21,5.25
4,1024138086,103,4,25.75,https://www.etsy.com/listing/1024138086/little-dutch-ball-track-wood-blue-ocean?ref=shop_review,5,1.25,12,3.0
5,1024152388,7,0,inf,https://www.etsy.com/listing/1024152388/stuffed-toy-goose-stand-on-goose?ref=shop_review,2,inf,2,inf
6,1024157300,97,4,24.25,https://www.etsy.com/listing/1024157300/stuffed-goose-18-cm-personalized-cuddly?ref=shop_review,8,2.0,16,4.0
7,1024158216,76,4,19.0,https://www.etsy.com/listing/1024158216/stuffed-goose-30-cm-personalized-cuddly?ref=shop_review,10,2.5,12,3.0
8,1024173660,65,0,inf,https://www.etsy.com/listing/1024173660/little-dutch-toolbox-20-piece-blue-with?ref=shop_review,5,inf,8,inf
9,1024196688,21,3,7.0,https://www.etsy.com/listing/1024196688/childrens-backpack-bieber-braun-casual?ref=shop_review,1,0.3333333333333333,1,0.3333333333333333
10,1024213086,158,5,31.6,https://www.etsy.com/listing/1024213086/little-dutch-crawling-blanket-ocean-pink?ref=shop_review,8,1.6,17,3.4
11,1024217080,9,6,1.5,https://www.etsy.com/listing/1024217080/drinking-bottle-made-of-stainless-steel?ref=shop_review,2,0.3333333333333333,3,0.5
12,1024217816,93,0,inf,https://www.etsy.com/listing/1024217816/little-dutch-crawling-blanket-ocean-blue?ref=shop_review,5,inf,9,inf
13,1024222988,49,1,49.0,https://www.etsy.com/listing/1024222988/little-dutch-car-wood-pink-with-laser?ref=shop_review,4,4.0,7,7.0
14,1024224908,279,4,69.75,https://www.etsy.com/listing/1024224908/little-dutch-car-wood-blue-with-laser?ref=shop_review,18,4.5,37,9.25
15,1024232634,105,0,inf,https://www.etsy.com/listing/1024232634/little-dutch-game-trapeze-mint-white?ref=shop_review,2,inf,4,inf
16,1024235088,539,5,107.8,https://www.etsy.com/listing/1024235088/little-dutch-crawling-blanket-little?ref=shop_review,28,5.6,55,11.0
17,1025538654,15,3,5.0,https://www.etsy.com/listing/1025538654/miffy-cuddly-toy-pink-32-cm-tiamo?ref=shop_review,1,0.3333333333333333,2,0.6666666666666666
