,target_id,total_sales,difference,monthly_sales,item_link_x,total_number_of_comments,average_comments_permonth,total_number_of_reviews,average_reviews_permonth
0,1002629316,2,6,0.3333333333333333,https://www.etsy.com/listing/1002629316/wooden-train-locomotive-railway?ref=shop_review,1,0.16666666666666666,1,0.16666666666666666
1,1002635130,5,7,0.7142857142857143,https://www.etsy.com/listing/1002635130/stacking-tower-teddy-jabadabado?ref=shop_review,1,0.14285714285714285,1,0.14285714285714285
2,1002636256,98,4,24.5,https://www.etsy.com/listing/1002636256/baptism-gift-personalized-gifts-baby?ref=shop_review,6,1.5,10,2.5
3,1002639496,13,1,13.0,https://www.etsy.com/listing/1002639496/sliding-animal-fish-blue-jollein?ref=shop_review,1,1.0,3,3.0
4,1016586945,42,1,42.0,https://www.etsy.com/listing/1016586945/stacking-tower-shell-pink-jollein?ref=shop_review,4,4.0,8,8.0
5,1035562634,8,1,8.0,https://www.etsy.com/listing/1035562634/stacking-tower-mr-polar-bear-mint?ref=shop_review,1,1.0,3,3.0
6,1035563662,5,4,1.25,https://www.etsy.com/listing/1035563662/stack-tower-mr-lion-yellow-customizable?ref=shop_review,1,0.25,1,0.25
7,1040502372,46,4,11.5,https://www.etsy.com/listing/1040502372/50-wooden-blocks-blue-personalized-with?ref=shop_review,3,0.75,4,1.0
8,1040510172,65,4,16.25,https://www.etsy.com/listing/1040510172/50-wooden-building-blocks-pink?ref=shop_review,6,1.5,12,3.0
9,1040959810,16,1,16.0,https://www.etsy.com/listing/1040959810/stacking-tower-panda-black-white?ref=shop_review,2,2.0,6,6.0
10,1041015320,7,4,1.75,https://www.etsy.com/listing/1041015320/catching-up-elephant-with-baby?ref=shop_review,3,0.75,3,0.75
11,1041502474,10,4,2.5,https://www.etsy.com/listing/1041502474/crackling-cloth-deer-customizable?ref=shop_review,2,0.5,2,0.5
12,1045102850,21,0,inf,https://www.etsy.com/listing/1045102850/ball-track-racecourse-customizable?ref=shop_review,1,inf,4,inf
13,1045107582,97,0,inf,https://www.etsy.com/listing/1045107582/workbench-with-wooden-tools-customizable?ref=shop_review,7,inf,11,inf
14,1046207022,23,0,inf,https://www.etsy.com/listing/1046207022/memory-box-for-babies-and-children-fox-o?ref=shop_review,2,inf,3,inf
15,1046207300,227,0,inf,https://www.etsy.com/listing/1046207300/memory-box-for-babies-and-children?ref=shop_review,13,inf,26,inf
16,1049526223,15,4,3.75,https://www.etsy.com/listing/1049526223/stack-tower-mrs-elephant-blue?ref=shop_review,2,0.5,3,0.75
17,1052166816,51,1,51.0,https://www.etsy.com/listing/1052166816/baptismal-gift-wooden-railway-blue?ref=shop_review,4,4.0,6,6.0
18,1054985971,9,4,2.25,https://www.etsy.com/listing/1054985971/wood-rainbow-pink-customizable?ref=shop_review,1,0.25,1,0.25
19,1059064889,77,1,77.0,https://www.etsy.com/listing/1059064889/doctors-case-for-children-customizable?ref=shop_review,4,4.0,4,4.0
20,1059068653,11,1,11.0,https://www.etsy.com/listing/1059068653/zig-zag-racetrack-customizable?ref=shop_review,1,1.0,2,2.0
21,1059084747,7,2,3.5,https://www.etsy.com/listing/1059084747/follower-lion-customizable?ref=shop_review,1,0.5,2,1.0
22,1064706140,54,0,inf,https://www.etsy.com/listing/1064706140/wooden-toolbox-customizable?ref=shop_review,3,inf,8,inf
23,1064710126,2,2,1.0,https://www.etsy.com/listing/1064710126/birthday-cake-customizable?ref=shop_review,1,0.5,2,1.0
24,1066125733,29,2,14.5,https://www.etsy.com/listing/1066125733/baptismal-gift-wooden-railway-pink?ref=shop_review,2,1.0,2,1.0
25,1078562780,8,1,8.0,https://www.etsy.com/listing/1078562780/pregnancy-announces-a-little-something?ref=shop_review,1,1.0,1,1.0
26,1097325115,97,0,inf,https://www.etsy.com/listing/1097325115/wooden-parking-garage-with-accessories?ref=shop_review,2,inf,4,inf
27,1106662783,4,0,inf,https://www.etsy.com/listing/1106662783/toy-checkout-customizable?ref=shop_review,1,inf,1,inf
28,1108933267,10,1,10.0,https://www.etsy.com/listing/1108933267/advent-calendar-wichtel-customizable?ref=shop_review,3,3.0,3,3.0
29,1108934365,36,0,inf,https://www.etsy.com/listing/1108934365/nikolaus-strumpf-grey-customizable?ref=shop_review,5,inf,9,inf
30,621932324,2,36,0.05555555555555555,https://www.etsy.com/listing/621932324/personalized-name-tag-with-birth-dates?ref=shop_review,1,0.027777777777777776,2,0.05555555555555555
31,621932528,16,34,0.47058823529411764,https://www.etsy.com/listing/621932528/personalized-doorname-sign-baptism-gift?ref=shop_review,1,0.029411764705882353,3,0.08823529411764706
32,621932532,5,28,0.17857142857142858,https://www.etsy.com/listing/621932532/name-plate-nursery-baptism-gifts?ref=shop_review,1,0.03571428571428571,2,0.07142857142857142
33,635763795,1,37,0.02702702702702703,https://www.etsy.com/listing/635763795/stroller-chain-bluegrey?ref=shop_review,1,0.02702702702702703,1,0.02702702702702703
34,635763865,14,33,0.42424242424242425,https://www.etsy.com/listing/635763865/baptism-gift-gift-for-birth-name-plate?ref=shop_review,1,0.030303030303030304,2,0.06060606060606061
35,866459106,40,12,3.3333333333333335,https://www.etsy.com/listing/866459106/personalized-wood-railway-train?ref=shop_review,1,0.08333333333333333,3,0.25
36,866476660,631,8,78.875,https://www.etsy.com/listing/866476660/personalized-ball-track-heart-pink?ref=shop_review,29,3.625,53,6.625
37,866480004,711,4,177.75,https://www.etsy.com/listing/866480004/personalized-ball-track-mint?ref=shop_review,46,11.5,83,20.75
