,target_id,total_sales,difference,monthly_sales,item_link_x,total_number_of_comments,average_comments_permonth,total_number_of_reviews,average_reviews_permonth
1,1005377700,1,3,0.3333333333333333,www.etsy.com/listing/1005377700/bread-tin-personalized-bread-tin-kids?ref=shop_review,14,4.666666666666667,13,4.333333333333333
3,1006900911,19,5,3.8,www.etsy.com/listing/1006900911/personalized-gifts-breakfast-board?ref=shop_review,106,21.2,117,23.4
6,1009312969,3,3,1.0,www.etsy.com/listing/1009312969/memory-box-baby-baby-gift-souvenir-box?ref=shop_review,3,1.0,6,2.0
8,1012166197,1,5,0.2,www.etsy.com/listing/1012166197/fathers-day-gift-personalized-fathers?ref=shop_review,17,3.4,28,5.6
10,1015110580,978,4,244.5,www.etsy.com/listing/1015110580/baby-gift-personalized-breakfast-board?ref=shop_review,49,12.25,72,18.0
11,1026121133,5,3,1.6666666666666667,www.etsy.com/listing/1026121133/childrens-cutlery-with-name-baby-gift?ref=shop_review,5,1.6666666666666667,2,0.6666666666666666
14,1027339542,7,3,2.3333333333333335,www.etsy.com/listing/1027339542/lunch-box-personalized-lunch-box?ref=shop_review,55,18.333333333333332,78,26.0
15,1027343658,1,3,0.3333333333333333,www.etsy.com/listing/1027343658/wooden-board-with-engraving-breakfast?ref=shop_review,2,0.6666666666666666,2,0.6666666666666666
16,1028025656,2,3,0.6666666666666666,www.etsy.com/listing/1028025656/thank-you-teacher-gift-personalized?ref=shop_review,17,5.666666666666667,23,7.666666666666667
17,1028028812,1,2,0.5,www.etsy.com/listing/1028028812/wooden-board-personalized-cutting-board?ref=shop_review,4,2.0,3,1.5
18,1031894888,6,3,2.0,www.etsy.com/listing/1031894888/xxl-lunch-box-personalized-lunch-box?ref=shop_review,46,15.333333333333334,39,13.0
19,1031900408,2,2,1.0,www.etsy.com/listing/1031900408/xxl-lunch-box-personalized-lunch-box?ref=shop_review,13,6.5,16,8.0
27,1039129711,4,2,2.0,www.etsy.com/listing/1039129711/wooden-board-with-engraving-breakfast?ref=shop_review,7,3.5,7,3.5
30,1039135497,2,3,0.6666666666666666,www.etsy.com/listing/1039135497/wooden-board-with-engraving-breakfast?ref=shop_review,12,4.0,14,4.666666666666667
32,1041303149,9,3,3.0,www.etsy.com/listing/1041303149/lunch-box-personalized-lunch-box?ref=shop_review,29,9.666666666666666,31,10.333333333333334
33,1042983906,3,0,inf,www.etsy.com/listing/1042983906/midwife-gift-midwife-thank-you?ref=shop_review,5,inf,4,inf
34,1042984450,3,2,1.5,www.etsy.com/listing/1042984450/lunch-box-personalized-lunch-box?ref=shop_review,16,8.0,9,4.5
35,1043637232,2,2,1.0,www.etsy.com/listing/1043637232/xxl-personalized-lunch-box-lunch-box?ref=shop_review,3,1.5,3,1.5
36,1043637572,1,2,0.5,www.etsy.com/listing/1043637572/xxl-personalized-lunch-box-lunch-box?ref=shop_review,5,2.5,6,3.0
40,1045853315,2,3,0.6666666666666666,www.etsy.com/listing/1045853315/xxl-lunch-box-personalized-lunch-box?ref=shop_review,31,10.333333333333334,28,9.333333333333334
44,1046449651,1,2,0.5,www.etsy.com/listing/1046449651/breakfast-board-kids-personalized-gift?ref=shop_review,6,3.0,3,1.5
45,1049049662,978,2,489.0,www.etsy.com/listing/1049049662/wooden-board-personalized-breakfast?ref=shop_review,7,3.5,9,4.5
46,1052687483,13,2,6.5,www.etsy.com/listing/1052687483/wooden-board-with-engraving-breakfast?ref=shop_review,21,10.5,25,12.5
47,1055682023,4,2,2.0,www.etsy.com/listing/1055682023/gifts-for-women-breakfast-board?ref=shop_review,25,12.5,19,9.5
50,1058077802,2,0,inf,www.etsy.com/listing/1058077802/breakfast-board-children-wooden-board?ref=shop_review,6,inf,4,inf
52,1058104719,1,2,0.5,www.etsy.com/listing/1058104719/lunch-box-personalized-lunch-box?ref=shop_review,7,3.5,5,2.5
55,1064882226,8,0,inf,www.etsy.com/listing/1064882226/mug-personalized-personalized-gifts?ref=shop_review,4,inf,6,inf
58,1072031969,3,0,inf,www.etsy.com/listing/1072031969/gift-wedding-personalized-wooden-board?ref=shop_review,2,inf,2,inf
60,1077572930,975,0,inf,www.etsy.com/listing/1077572930/breakfast-board-personalized-advent?ref=shop_review,8,inf,11,inf
62,1087986267,13,0,inf,www.etsy.com/listing/1087986267/baby-gift-birth-gift-birth-baby-gift?ref=shop_review,17,inf,27,inf
64,1096283598,10,0,inf,www.etsy.com/listing/1096283598/advent-calendar-children-advent-calendar?ref=shop_review,1,inf,1,inf
65,1096689691,1,0,inf,www.etsy.com/listing/1096689691/christmas-gift-personalized-personalized?ref=shop_review,1,inf,1,inf
