,customer_name,review_date,item_title,item_link,item_rating,review_text
0,Anne Fellenberg,2021-12-27,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
1,julimerz,2021-12-27,"Wooden board with engraving, breakfast board kids, kids spoon, baby gift, board bunny, personalized cutting board, vesper board",www.etsy.com/listing/971083902/wooden-board-with-engraving-breakfast?ref=shop_review,5 out of 5 stars,
2,Yasmin,2021-12-27,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
3,Olga Treptau,2021-12-27,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,
4,Catherina,2021-12-27,"Gift wedding personalized, wooden board with engraving, wedding gift, wooden board with engraving, baby gift, gifts for women",www.etsy.com/listing/1072031969/gift-wedding-personalized-wooden-board?ref=shop_review,4 out of 5 stars,"Sehr schönes Brettchen, danke :)  Lieferung hat etwas länger gedauert."
5,Nadine,2021-12-27,"Wooden board with engraving, breakfast board kids, kids spoon, baby gift, board bunny, personalized gift baby,vesper board kids",www.etsy.com/listing/932376212/wooden-board-with-engraving-breakfast?ref=shop_review,5 out of 5 stars,
6,Peter,2021-12-26,"Mama Gift Christmas, Mom Gift Personalized, Definition Mom, Lunch Box Stainless Steel Personalized, Gift Mom",www.etsy.com/listing/1119976207/mama-gift-christmas-mom-gift?ref=shop_review,5 out of 5 stars,"Qualität  ist sehr gut
Und bin zufrieden  mit der Ware"
7,Laura,2021-12-26,"Wooden board with engraving, gift grandpa, bread board granny, gift dad, gift mom personalized, breakfast board, wooden board",www.etsy.com/listing/955566263/wooden-board-with-engraving-gift-grandpa?ref=shop_review,5 out of 5 stars,
8,Meike,2021-12-26,"Personalized lunch box, lunch box personalized in Germany, lunch box stainless steel, lunch box children, lunch box, baby gift",www.etsy.com/listing/1075561355/personalized-lunch-box-lunch-box?ref=shop_review,5 out of 5 stars,
9,Daniela,2021-12-26,"Baby Gift Birth, Gift Birth, Baby Gift, Personalized Gift Baby, Christmas Gift, Board Personalized, Wooden Plate",www.etsy.com/listing/1087986267/baby-gift-birth-gift-birth-baby-gift?ref=shop_review,5 out of 5 stars,Der Bambus-Holzteller ist sehr schön. Der gewünschte Text wurde problemlos angefertigt. Die beschenkten Eltern haben sich sehr gefreut. Die Lieferung war schnell.
10,Claudia,2021-12-26,"Breakfast boards for kids personalized, baby spoon and board dinosaur, gift baby, kids vesper board, wooden board name",www.etsy.com/listing/963832517/breakfast-boards-for-kids-personalized?ref=shop_review,5 out of 5 stars,"Super süße Brettchen😍
Vollster Zufriedenheit"
11,Angela,2021-12-26,"Board Personalized, Personalized Gift Baby, Baby Gift, Breakfast Board Personalized, Cutting Board Kids, Christmas",www.etsy.com/listing/985046343/board-personalized-personalized-gift?ref=shop_review,5 out of 5 stars,Wunderschöne hochwertige Brettchen. Sehr netter Kontakt. Gerne wieder.
