Index,links,item_title,Customer Name,Review Date,Item rating,Review text
0,https://www.etsy.com/listing/1060162981/memory-box-for-babies-and-children-heart?ref=shop_review,Memory box for babies and children – heart | customizable,Christina," Jan 8, 2022                    ",5 out of 5 stars,
1,https://www.etsy.com/listing/1106662783/toy-checkout-customizable?ref=shop_review,Toy checkout | customizable,Felix," Jan 8, 2022                    ",5 out of 5 stars,"Stabiler und wertiger Eindruck, liebevolles Zubehör."
2,https://www.etsy.com/listing/932003591/kitchen-accessories-toaster-incl?ref=shop_review,Kitchen accessories Toaster incl. accessories pink | Personalizable,Stephanie," Jan 8, 2022                    ",5 out of 5 stars,
3,https://www.etsy.com/listing/934209129/childrens-kitchen-mint-personalizable?ref=shop_review,Children's kitchen mint | Personalizable,Koryna," Jan 7, 2022                    ",5 out of 5 stars,alles super !!! Kind überglücklich
4,https://www.etsy.com/listing/866480004/personalized-ball-track-mint?ref=shop_review,Personalized ball track mint | customizable,Katlen," Jan 7, 2022                    ",5 out of 5 stars,Sehr schön verarbeitet und die kleine liebt es 😍
5,https://www.etsy.com/listing/870895918/wooden-railway-personalized-pink?ref=shop_review,Wooden railway personalized pink,Birgit," Jan 7, 2022                    ",5 out of 5 stars,"Alles prima verlaufen, vielen Dank"
6,https://www.etsy.com/listing/934210981/wooden-toys-childrens-kitchen-coffee?ref=shop_review,Wooden toys children's kitchen coffee maker pink| Personalizable,Sarah," Jan 7, 2022                    ",5 out of 5 stars,
7,https://www.etsy.com/listing/918072956/tea-set-mint-personalizable?ref=shop_review,Tea - Set mint| | Personalizable,Abby," Jan 6, 2022                    ",5 out of 5 stars,
8,https://www.etsy.com/listing/918079364/kitchen-accessories-toaster-incl?ref=shop_review,Kitchen accessories Toaster incl. accessories mint | Personalizable,Abby," Jan 6, 2022                    ",5 out of 5 stars,
9,https://www.etsy.com/listing/880413319/baptismal-gift-personalized-stack-and?ref=shop_review,Baptismal gift Personalized stack – and plug-in game house - blue | printed | customizable Label Label,Christine," Jan 6, 2022                    ",5 out of 5 stars,"So ein süßes Geschenk zur Geburt, haben wir auch bekommen in der Mädchenversion und freue mich schon es jetzt zu verschenken."
10,https://www.etsy.com/listing/870898818/personalized-gifts-baby-plug-in-game?ref=shop_review,Personalized Gifts Baby Plug House Pink Personalized,Meike Rzepka," Jan 6, 2022                    ",5 out of 5 stars,"Sehr chic und sehr schnelle Lieferung, allerdings im Ganzen etwas größer erwartet. Vielen Dank, gerne wieder"
